time,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2023-02-14,11,5,4,10,6,9,9,7,4
2023-02-15,9,6,5,10,7,10,7,6,7
2023-02-16,10,5,5,11,5,10,9,9,7
2023-02-17,14,7,3,8,6,7,8,6,5
2023-02-18,10,7,2,9,7,9,11,8,6
2023-02-19,9,7,3,13,7,9,12,9,6
2023-02-20,10,5,2,10,7,9,9,11,6
2023-02-21,9,5,2,13,8,8,9,7,7
2023-02-22,9,4,5,9,8,9,12,7,6
2023-02-23,12,4,2,9,7,8,8,7,7
2023-02-24,8,7,5,10,7,8,9,7,5
2023-02-25,10,8,3,10,6,11,9,9,5
2023-02-26,10,7,3,9,8,8,9,6,6
2023-02-27,8,8,3,9,7,12,7,7,6
2023-02-28,11,8,4,11,6,8,9,9,8
2023-03-01,11,7,4,15,7,11,9,8,6
2023-03-02,8,8,3,13,7,8,10,9,8
2023-03-03,11,7,4,13,6,9,6,9,6
2023-03-04,13,7,3,13,5,9,10,6,7
2023-03-05,9,4,4,9,7,11,11,9,6
2023-03-06,11,8,2,14,5,11,8,9,7
2023-03-07,11,9,4,10,6,9,12,7,5
2023-03-08,9,6,3,9,6,9,10,7,8
2023-03-09,10,6,3,9,10,9,9,9,6
2023-03-10,11,5,4,13,7,10,6,7,6
2023-03-11,11,5,4,11,6,8,10,9,4
2023-03-12,8,6,2,13,4,8,9,8,4
2023-03-13,9,6,2,10,8,8,9,10,7
2023-03-14,8,6,2,11,9,11,6,9,4
2023-03-15,8,7,4,7,6,10,9,8,6
2023-03-16,9,5,3,0,6,8,7,8,5
2023-03-17,10,7,5,0,9,11,8,7,7
2023-03-18,9,6,6,13,6,11,8,8,3
2023-03-19,9,7,4,0,3,10,8,12,7
2023-03-20,9,6,3,9,5,11,7,8,6
2023-03-21,10,6,3,11,6,8,8,7,5
2023-03-22,8,5,3,12,7,10,12,8,3
2023-03-23,9,6,4,0,7,9,10,6,5
2023-03-24,8,6,3,14,6,9,10,8,6
2023-03-25,9,6,5,11,6,10,8,6,4
2023-03-26,11,7,4,11,8,9,11,7,6
2023-03-27,6,7,2,11,5,7,5,11,7
2023-03-28,8,5,2,11,5,9,7,6,6
2023-03-29,10,4,4,10,7,6,6,7,4
2023-03-30,10,5,3,12,6,9,11,8,7
2023-03-31,7,5,4,9,7,9,5,8,6
2023-04-01,10,6,3,13,9,9,8,8,6
2023-04-02,10,5,3,13,9,9,9,6,5
2023-04-03,7,7,2,7,7,9,7,9,6
2023-04-04,13,4,4,10,8,11,7,5,4
2023-04-05,10,5,3,7,6,11,9,7,5
2023-04-06,9,5,3,5,8,12,8,10,8
2023-04-07,9,8,4,10,5,8,6,7,7
2023-04-08,6,5,3,11,9,7,11,7,6
2023-04-09,11,4,3,9,4,8,9,8,7
2023-04-10,12,5,2,12,7,9,7,7,5
2023-04-11,7,4,3,9,7,8,9,6,6
2023-04-12,11,7,3,14,9,8,6,6,7
2023-04-13,9,6,3,0,10,9,8,8,5
2023-04-14,9,5,3,10,5,10,8,7,7
