time,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2022-12-03,24.0.0,24.0.0,22.99.0,24.0.0,23.99.0,24.0.0,24.0.0,24.0.0,24.0.0
2022-12-04,24.0.0,24.0.0,22.0.0,24.0.0,23.0.0,24.99.0,24.0.0,24.0.0,24.0.0
2022-12-05,24.99.0,24.99.0,22.99.0,24.0.0,24.0.0,24.0.0,24.0.0,24.99.0,24.99.0
2022-12-06,24.0.0,24.99.0,22.0.0,24.0.0,24.0.0,24.99.0,24.0.0,24.0.0,24.99.0
2022-12-07,24.0.0,24.99.0,22.0.0,24.99.0,24.0.0,24.0.0,24.99.0,24.0.0,24.0.0
2022-12-08,24.0.0,24.99.0,22.99.0,24.99.0,24.0.0,24.99.0,24.99.0,24.99.0,24.99.0
2022-12-09,24.0.0,24.99.0,24.0.1,24.0.0,24.0.0,24.0.0,24.99.0,24.0.0,24.99.0
2022-12-10,24.0.0,24.99.0,23.0.0,24.99.0,24.0.0,24.99.0,24.0.0,24.0.0,24.99.0
2022-12-11,24.0.0,24.99.0,22.0.0,24.99.0,24.0.0,24.0.0,24.0.0,23.0.0,24.99.0
2022-12-12,24.0.0,24.99.0,23.0.0,24.0.0,24.0.0,24.0.1,24.99.0,24.0.1,24.99.0
2022-12-13,24.0.0,24.99.0,22.0.0,24.0.0,24.0.1,24.99.0,24.0.0,24.99.0,24.0.1
2022-12-14,24.0.1,24.99.0,22.0.0,24.0.1,23.0.0,24.0.1,24.0.0,24.99.0,24.99.0
2022-12-15,24.0.1,24.0.1,22.99.0,24.0.0,24.0.0,24.99.0,24.0.1,24.99.0,24.99.0
2022-12-16,24.99.0,24.99.0,22.0.0,24.0.1,24.0.1,24.0.0,24.0.0,24.0.1,24.99.0
2022-12-17,24.0.1,24.99.0,22.0.0,24.0.1,24.99.0,24.99.0,24.0.1,24.0.0,24.99.0
2022-12-18,24.0.1,24.0.1,22.99.0,24.0.1,24.0.1,24.0.0,24.0.1,24.99.0,24.99.0
2022-12-19,24.99.0,24.99.0,22.0.0,23.0.0,24.99.0,24.0.1,24.99.0,24.0.1,24.0.1
2022-12-20,24.99.0,24.0.1,22.0.0,24.0.1,24.99.0,24.0.1,24.0.1,24.99.0,24.99.0
2022-12-21,24.0.1,24.0.1,22.0.0,24.0.1,24.0.1,24.99.0,24.99.0,24.0.1,24.0.1
2022-12-22,24.99.0,24.0.1,22.0.0,24.0.1,24.0.1,24.99.0,24.0.1,24.0.0,24.0.1
2022-12-23,24.0.0,24.99.0,22.99.0,24.99.0,24.0.1,24.0.1,24.0.1,23.0.0,24.0.1
2022-12-24,24.99.0,24.99.0,22.99.0,24.0.1,24.0.1,24.99.0,24.0.1,24.0.1,24.99.0
2022-12-25,24.99.0,24.99.0,22.0.0,24.0.1,24.0.1,24.99.0,24.99.0,24.0.1,24.99.0
2022-12-26,24.0.1,24.0.1,22.99.0,24.0.0,24.99.0,24.99.0,24.0.1,24.99.0,24.99.0
2022-12-27,24.0.1,24.99.0,22.0.0,24.0.1,24.99.0,24.99.0,24.0.1,24.0.1,24.0.1
2022-12-28,24.0.1,24.99.0,22.99.0,24.99.0,24.0.1,24.0.1,24.99.0,24.0.1,24.99.0
2022-12-29,24.0.1,24.99.0,22.99.0,24.0.1,24.0.1,24.99.0,24.99.0,24.99.0,24.0.1
2022-12-30,24.0.1,24.0.1,22.99.0,24.0.1,24.0.1,24.99.0,24.0.1,24.0.1,24.0.1
2022-12-31,24.99.0,24.99.0,24.0.1,24.0.1,24.0.1,24.99.0,24.0.1,24.0.1,24.99.0
2023-01-01,24.0.1,24.99.0,22.0.0,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0
2023-01-02,24.99.0,24.0.1,22.0.0,24.99.0,24.0.0,24.99.0,24.0.1,24.99.0,24.99.0
2023-01-03,24.0.1,24.99.0,22.99.0,24.0.1,24.99.0,24.99.0,24.0.1,24.0.1,24.99.0
2023-01-04,24.0.1,24.99.0,22.0.0,24.99.0,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0
2023-01-05,24.0.1,24.0.1,22.99.0,24.0.1,24.0.1,24.99.0,24.0.1,24.0.1,24.0.1
2023-01-06,24.0.1,24.99.0,22.0.0,24.99.0,24.0.1,24.99.0,24.0.1,24.0.1,24.0.1
2023-01-07,24.0.1,24.99.0,22.99.0,24.0.1,23.0.0,24.0.1,24.0.1,24.0.1,24.99.0
2023-01-08,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0,24.0.1,24.99.0,24.99.0
2023-01-09,24.0.1,24.0.1,22.0.0,24.0.0,23.0.0,24.99.0,24.0.1,24.99.0,24.0.1
2023-01-10,24.99.0,24.99.0,22.0.0,24.99.0,24.0.1,24.0.1,24.99.0,24.99.0,24.99.0
2023-01-11,24.0.1,24.0.1,22.0.0,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0,24.99.0
2023-01-12,24.0.1,24.99.0,22.0.0,24.0.1,24.0.1,24.0.1,24.99.0,24.99.0,24.99.0
2023-01-13,24.99.0,24.99.0,22.0.0,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0,24.99.0
2023-01-14,24.99.0,24.99.0,22.0.0,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1
2023-01-15,24.0.1,24.99.0,22.0.0,24.99.0,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0
2023-01-16,24.99.0,24.99.0,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0,24.99.0
2023-01-17,24.99.0,24.0.1,24.0.1,24.0.1,24.99.0,24.99.0,24.0.1,24.0.1,24.0.1
2023-01-18,24.99.0,24.99.0,24.0.1,24.0.1,24.0.1,24.99.0,24.99.0,24.0.1,24.99.0
2023-01-19,24.99.0,24.99.0,24.0.1,24.99.0,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0
2023-01-20,24.99.0,24.99.0,22.1.0,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1
2023-01-21,24.0.1,24.99.0,22.0.0,24.0.1,24.99.0,24.0.1,24.99.0,24.0.1,24.99.0
2023-01-22,24.99.0,24.99.0,22.0.0,24.0.1,24.0.1,24.99.0,24.0.1,24.0.1,24.99.0
2023-01-23,24.99.0,24.99.0,22.1.0,24.0.1,24.0.1,24.99.0,24.0.1,24.99.0,24.99.0
2023-01-24,24.0.1,24.99.0,22.99.0,24.0.1,24.99.0,24.0.1,24.0.1,24.0.1,24.99.0
2023-01-25,24.99.0,24.99.0,22.99.0,24.0.1,24.0.1,24.99.0,24.0.1,24.0.1,24.99.0
2023-01-26,24.0.1,24.99.0,22.1.0,24.0.1,24.0.1,24.99.0,24.0.1,24.0.1,24.99.0
2023-01-27,24.0.1,24.99.0,22.99.0,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0,24.99.0
2023-01-28,24.99.0,24.0.1,22.99.0,24.99.0,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1
2023-01-29,24.0.1,24.99.0,22.0.0,24.0.1,24.0.1,24.99.0,24.99.0,24.99.0,24.99.0
