time,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2023-02-14,39,31,36,37,37,37,36,34,31
2023-02-15,39,31,36,37,37,37,36,31,31
2023-02-16,39,31,36,37,37,37,36,31,31
2023-02-17,39,31,36,37,37,37,36,35,31
2023-02-18,39,31,36,37,37,37,36,35,31
2023-02-19,39,31,36,37,37,37,36,29,31
2023-02-20,39,31,36,37,37,37,36,35,31
2023-02-21,39,31,36,37,37,37,36,34,31
2023-02-22,39,31,36,37,37,37,36,35,31
2023-02-23,39,31,36,37,37,37,36,37,31
2023-02-24,39,31,36,37,37,37,36,30,31
2023-02-25,39,31,36,37,37,37,36,34,31
2023-02-26,39,31,36,37,37,37,36,31,31
2023-02-27,39,31,36,37,37,37,36,31,31
2023-02-28,39,31,36,37,37,37,36,31,31
2023-03-01,39,31,36,37,37,37,36,34,31
2023-03-02,39,31,36,37,37,37,36,35,31
2023-03-03,39,31,36,37,37,37,36,36,31
2023-03-04,39,31,36,37,37,37,36,33,31
2023-03-05,39,31,36,37,37,37,36,32,31
2023-03-06,39,31,36,37,37,37,36,33,31
2023-03-07,39,31,36,37,37,37,36,34,31
2023-03-08,39,31,36,37,37,37,36,36,31
2023-03-09,39,31,36,37,37,37,36,32,31
2023-03-10,39,31,36,37,37,37,36,38,31
2023-03-11,39,31,36,37,37,37,36,34,31
2023-03-12,39,31,36,37,37,37,36,32,31
2023-03-13,39,31,36,37,37,37,36,33,31
2023-03-14,39,31,36,37,37,37,36,29,31
2023-03-15,39,31,36,12,37,37,36,35,31
2023-03-16,39,31,36,0,37,37,36,31,31
2023-03-17,39,31,36,0,37,37,36,34,31
2023-03-18,39,31,36,37,37,37,36,29,31
2023-03-19,39,31,36,0,37,37,36,33,31
2023-03-20,39,31,36,37,37,37,36,30,31
2023-03-21,39,31,36,37,37,37,36,32,31
2023-03-22,39,31,36,37,37,37,36,32,31
2023-03-23,39,31,36,0,37,37,36,32,31
2023-03-24,39,31,36,37,37,37,36,32,31
2023-03-25,39,31,36,37,37,37,36,34,31
2023-03-26,39,31,36,37,37,37,36,32,31
2023-03-27,39,31,36,37,37,37,36,31,31
2023-03-28,39,31,36,37,37,37,36,33,31
2023-03-29,39,31,36,37,37,37,36,30,31
2023-03-30,39,31,36,37,37,37,36,37,31
2023-03-31,39,31,36,37,37,37,36,35,31
2023-04-01,39,31,36,37,37,37,36,38,31
2023-04-02,39,31,36,37,37,37,36,38,31
2023-04-03,39,31,36,37,37,37,36,32,31
2023-04-04,39,31,36,37,37,37,36,31,31
2023-04-05,39,31,36,12,37,37,36,31,31
2023-04-06,39,31,36,12,37,37,36,34,31
2023-04-07,39,31,36,37,37,37,36,36,31
2023-04-08,39,31,36,37,37,37,36,33,31
2023-04-09,39,31,36,37,37,37,36,34,31
2023-04-10,39,31,36,37,37,37,36,35,31
2023-04-11,39,31,36,37,37,37,36,30,31
2023-04-12,39,31,36,37,37,37,36,36,31
2023-04-13,39,31,36,0,37,37,36,36,31
2023-04-14,39,31,36,37,37,37,36,34,31
2023-04-15,39,31,36,37,37,37,36,35,31
2023-04-16,39,31,36,37,37,37,36,36,31
2023-04-17,39,31,36,37,37,37,36,32,31
