time,overall,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2023-02-08,0.079,0.0,0.065,0.0,0.0,0.054,0.0,0.028,0.03,0.129
2023-02-09,0.058,0.026,0.032,0.0,0.0,0.054,0.0,0.056,0.118,0.065
2023-02-10,0.092,0.051,0.129,0.083,0.0,0.027,0.0,0.0,0.057,0.097
2023-02-11,0.097,0.026,0.161,0.056,0.054,0.054,0.0,0.028,0.0,0.161
2023-02-12,0.102,0.051,0.065,0.083,0.0,0.027,0.0,0.083,0.033,0.129
2023-02-13,0.087,0.0,0.065,0.028,0.0,0.027,0.027,0.028,0.032,0.194
2023-02-14,0.078,0.0,0.097,0.083,0.0,0.027,0.0,0.0,0.0,0.129
2023-02-15,0.122,0.026,0.161,0.111,0.0,0.027,0.054,0.0,0.065,0.065
2023-02-16,0.097,0.077,0.129,0.0,0.027,0.027,0.027,0.0,0.032,0.161
2023-02-17,0.085,0.051,0.097,0.0,0.027,0.027,0.0,0.028,0.029,0.032
2023-02-18,0.098,0.0,0.194,0.028,0.027,0.027,0.027,0.0,0.143,0.032
2023-02-19,0.097,0.026,0.226,0.028,0.054,0.027,0.0,0.028,0.034,0.065
2023-02-20,0.074,0.026,0.065,0.0,0.027,0.0,0.027,0.0,0.029,0.097
2023-02-21,0.104,0.103,0.065,0.028,0.0,0.0,0.0,0.028,0.118,0.258
2023-02-22,0.092,0.051,0.065,0.0,0.0,0.027,0.054,0.0,0.143,0.161
2023-02-23,0.102,0.026,0.194,0.056,0.0,0.027,0.0,0.0,0.108,0.097
2023-02-24,0.099,0.026,0.226,0.083,0.0,0.027,0.0,0.028,0.0,0.161
2023-02-25,0.087,0.026,0.0,0.083,0.0,0.0,0.0,0.083,0.029,0.065
2023-02-26,0.091,0.103,0.097,0.167,0.0,0.0,0.0,0.056,0.0,0.065
2023-02-27,0.11,0.0,0.194,0.028,0.0,0.0,0.027,0.0,0.097,0.032
2023-02-28,0.107,0.0,0.194,0.056,0.027,0.027,0.0,0.028,0.065,0.032
2023-03-01,0.081,0.0,0.129,0.028,0.0,0.027,0.0,0.028,0.029,0.097
2023-03-02,0.094,0.0,0.194,0.056,0.0,0.027,0.0,0.0,0.114,0.032
2023-03-03,0.131,0.0,0.194,0.083,0.027,0.054,0.027,0.056,0.139,0.097
2023-03-04,0.097,0.0,0.097,0.028,0.0,0.054,0.0,0.0,0.152,0.161
2023-03-05,0.083,0.051,0.161,0.028,0.0,0.0,0.027,0.0,0.0,0.065
2023-03-06,0.1,0.026,0.226,0.083,0.0,0.054,0.027,0.028,0.091,0.161
2023-03-07,0.094,0.077,0.032,0.056,0.027,0.0,0.0,0.0,0.029,0.097
2023-03-08,0.075,0.0,0.097,0.083,0.0,0.027,0.0,0.0,0.111,0.097
2023-03-09,0.065,0.051,0.032,0.028,0.0,0.0,0.0,0.056,0.031,0.097
2023-03-10,0.092,0.051,0.129,0.0,0.0,0.0,0.027,0.028,0.053,0.161
2023-03-11,0.115,0.026,0.032,0.111,0.0,0.027,0.0,0.028,0.147,0.161
2023-03-12,0.082,0.026,0.032,0.0,0.0,0.0,0.027,0.0,0.031,0.161
2023-03-13,0.066,0.026,0.065,0.028,0.0,0.027,0.027,0.0,0.03,0.065
2023-03-14,0.086,0.077,0.097,0.056,0.0,0.0,0.027,0.028,0.034,0.097
2023-03-15,0.108,0.0,0.0,0.056,0.083,0.0,0.0,0.028,0.0,0.129
2023-03-16,0.112,0.0,0.065,0.111,0.0,0.027,0.027,0.028,0.065,0.161
2023-03-17,0.095,0.0,0.0,0.056,0.0,0.027,0.054,0.056,0.059,0.161
2023-03-18,0.106,0.0,0.032,0.056,0.0,0.054,0.027,0.056,0.034,0.226
2023-03-19,0.095,0.0,0.097,0.167,0.0,0.027,0.0,0.0,0.0,0.032
2023-03-20,0.079,0.0,0.065,0.0,0.0,0.0,0.0,0.028,0.0,0.161
2023-03-21,0.087,0.103,0.129,0.0,0.0,0.0,0.0,0.0,0.062,0.129
2023-03-22,0.117,0.128,0.129,0.028,0.0,0.027,0.027,0.0,0.094,0.129
2023-03-23,0.088,0.026,0.065,0.0,0.0,0.027,0.0,0.0,0.031,0.226
2023-03-24,0.075,0.026,0.097,0.056,0.0,0.0,0.0,0.0,0.094,0.129
2023-03-25,0.104,0.026,0.065,0.111,0.0,0.0,0.0,0.028,0.059,0.097
2023-03-26,0.094,0.0,0.129,0.056,0.0,0.0,0.0,0.0,0.031,0.258
2023-03-27,0.105,0.026,0.065,0.056,0.0,0.027,0.0,0.056,0.097,0.161
2023-03-28,0.117,0.0,0.0,0.083,0.0,0.027,0.054,0.0,0.061,0.194
2023-03-29,0.088,0.051,0.129,0.083,0.0,0.0,0.027,0.056,0.033,0.065
2023-03-30,0.101,0.0,0.065,0.111,0.0,0.027,0.0,0.056,0.054,0.129
2023-03-31,0.109,0.0,0.161,0.056,0.0,0.054,0.027,0.056,0.143,0.258
2023-04-01,0.098,0.051,0.194,0.083,0.027,0.0,0.0,0.0,0.132,0.097
2023-04-02,0.089,0.0,0.097,0.0,0.0,0.0,0.0,0.056,0.158,0.065
2023-04-03,0.123,0.026,0.065,0.056,0.0,0.027,0.0,0.0,0.188,0.161
2023-04-04,0.102,0.0,0.161,0.222,0.027,0.0,0.0,0.056,0.032,0.065
